ID,Lat,Long,PC1,PC2,PC3
2130,58.93,-2.75,-0.0285793,0.00755453,0.021118
464,40.42,-3.7,0.0157187,0.00968847,0.00974542
1486,38.745044,-9.21522,0.0698446,0.0494427,0.0169818
576,37.9424,-7.5963,0.0413463,-0.0215223,-0.0132442
2232,55.988523,-2.480662,-0.0322569,0.00617813,0.0224712
2253,47.50163,18.910468,0.0933195,-0.00141047,-0.00220883
825,53.079803,-1.640942,0.0768974,0.0471457,0.0170238
114,46.7877247,23.520877,-0.0230882,0.102239,-0.036807
1247,45.934722,20.404444,0.0101267,0.00735755,-0.000874412
162,42.283004,13.624005,0.0330673,-0.0311693,-0.0189769
101,40.416667,45.2,-0.00712169,-0.0653951,-0.0349979
1674,44.480949,11.257043,-0.013972,0.0124945,0.0144832
1440,55.988523,-2.480662,-0.0310503,0.00722634,0.02164
1272,63.58,27.03,-0.046732,0.00667047,0.0235984
2040,41.828485,12.546967,0.0288462,-0.00849348,-0.00283755
927,40.42,-3.7,0.0149453,0.00455496,0.00803818
546,47.520669,17.01452,-0.0119539,0.00502506,0.00120868
1678,47.167,20.833,-0.00891615,0.0433816,-0.014197
380,43.354032,43.721893,0.00958955,-0.0794677,-0.0457334
1862,38.0042,-7.8632,0.0193333,0.0287606,0.0179987
2314,36.63833333,22.3825,0.0979744,-0.0170299,-0.00897366
758,43.48,11.12,0.0257243,-0.01533,-0.00380493
182,43.607274,16.54708,0.0208235,-0.00374698,0.000904046
1137,53.025,51.451,-0.100074,-0.0420905,0.00196793
2006,47.064232,20.211518,0.0804518,0.018023,-0.0104939
1939,50.84,4.34,-0.019632,0.00606225,0.0155788
1520,63.58,27.03,-0.0490064,0.00949133,0.0207349
1430,43.400277,13.556154,0.0309312,0.0143025,0.00745967
2445,43.149777,3.060539,0.014585,0.0242591,0.0178306
686,37.724,12.916,0.0920896,0.0117676,-0.00434122
838,45.63,45.52,-0.0846779,-0.107598,0.0542496
2460,41.844153,12.5490107,0.0386789,-0.0251317,-0.0155415
759,52.71085,49.46685556,-0.163574,0.00800195,-0.0354463
